#TEFF:4000 METALLICITY:p01 GRAVITY:4.5 VTURB:2.0 L/H: 1.25
#wav (A) 	 flux (ergs/cm**2/s/A)
11825.0	64921.5107256
11875.0	64076.1949899
11925.0	65582.8036051
11975.0	62753.3541907
12025.0	64591.9340182
12075.0	63809.3293148
12125.0	64099.8269726
12175.0	63976.8929256
12225.0	63629.15356
12275.0	63175.514463
12325.0	62794.2278546
12375.0	62663.6895375
12425.0	62039.9706776
12475.0	62092.668214
12525.0	61347.5642677
12575.0	61429.4367338
12625.0	61043.5163573
12675.0	60450.8972338
12725.0	60511.8349691
12775.0	60502.0011209
12825.0	58664.1742952
12875.0	59377.7267214
12925.0	58533.3813368
12975.0	59295.825403
13025.0	58693.0151304
13075.0	58839.4581534
13125.0	56945.8289237
13175.0	57343.4344445
13225.0	57983.6651197
13275.0	57168.3349178
13325.0	57170.6620271
13375.0	57196.4941793
13425.0	57227.0096996
13475.0	56994.6304751
13525.0	56752.6448418
13575.0	56223.0964242
13625.0	55641.6416956
13675.0	56070.7252042
13725.0	56141.9692217
13775.0	55768.3232004
13825.0	55754.6584283
13875.0	55046.7713872
13925.0	55463.8610318
13975.0	55333.2521774
14025.0	54614.7880312
14075.0	55031.0105287
14125.0	54544.4309206
14175.0	54794.4247924
14225.0	54193.5974805
14275.0	52697.9899856
14325.0	54118.9444205
14375.0	54108.7190071
14425.0	53157.964757
14475.0	53875.9171511
14525.0	53322.3304183
14570.0	53271.6698205
14620.0	53537.6735686
14675.0	53439.2026106
14725.0	52767.191918
14775.0	52763.5962051
14825.0	52945.7237519
14875.0	51721.8944049
14925.0	53188.770127
14975.0	52664.3976598
15025.0	49792.633853
15075.0	51132.9718001
15125.0	52526.6035995
15175.0	52229.2034881
15225.0	52363.9530286
15275.0	52562.6350056
15325.0	52310.8396013
15375.0	52635.7006621
15425.0	52720.8972264
15475.0	52637.3967352
15525.0	52020.2778063
15575.0	51868.4848069
15625.0	52218.5698363
15675.0	51527.250521
15725.0	51660.7992714
15775.0	49579.7774628
15825.0	51061.4366894
15875.0	50269.223149
15925.0	51002.5974401
15975.0	51060.9211064
16050.0	51149.264163
16150.0	50329.2942842
16250.0	50161.3450294
16350.0	50135.0310389
16450.0	49009.9639028
16550.0	48747.8445593
16650.0	47532.497178
16750.0	46076.5447322
16850.0	45739.2763717
16950.0	45310.736606
17050.0	43920.7127347
17150.0	42928.9121151
17250.0	42299.6390645
17350.0	41616.2494247
17450.0	40858.0783639
17550.0	40103.7292052
17650.0	39528.3654065
17750.0	38600.8510809
17850.0	38189.3189756
17950.0	37376.0695149
18050.0	36493.7926636
18150.0	35996.2992319
